time,price,amount,bid_price,ask_price
9151531,141330,2,141310,141330
9151531,141340,1,141320,141340
9151531,141340,1,141330,141340
9151543,141330,1,141330,141340
9151686,141310,1,141310,141340
9151686,141330,1,141300,141330
9151689,141300,1,141300,141340
9151702,141290,1,141290,141330
9151864,141320,1,141300,141320
9151869,141340,1,141330,141340
9151869,141350,1,141330,141340
9151869,141350,4,141330,141340
9151869,141350,13,141350,141360
9151878,141320,1,141320,141340
9151878,141300,1,141320,141340
9151999,141330,1,141320,141330
9152008,141330,1,141320,141330
9152010,141340,1,141330,141340
9152050,141350,1,141340,141350
9152053,141350,1,141350,141370
9152053,141370,1,141350,141370
9152057,141350,1,141350,141380
9152192,141370,1,141370,141380
9152192,141360,1,141370,141380
9152192,141350,2,141350,141370
9152192,141370,2,141350,141370
9152219,141370,1,141360,141370
9152228,141370,1,141360,141370
9152371,141350,1,141350,141380
9152379,141340,1,141340,141370
9152420,141360,1,141340,141360
9152420,141370,3,141340,141360
9152420,141380,5,141350,141380
9152423,141360,1,141350,141360
9152471,141350,1,141350,141390
9152774,141360,1,141360,141380
9152792,141380,1,141350,141380
9152870,141380,1,141360,141380
9152886,141390,6,141380,141390
9152886,141400,6,141390,141400
9152887,141390,1,141390,141420
9152887,141380,3,141380,141410
9152887,141410,1,141370,141410
9152893,141370,1,141370,141390
9152893,141360,1,141370,141390
9152943,141390,3,141370,141390
9152943,141400,1,141370,141400
9152946,141370,1,141370,141410
9153195,141400,1,141380,141400
9153198,141380,1,141380,141400
9153508,141380,3,141370,141380
9153593,141370,2,141370,141380
9153733,141360,1,141360,141380
9153885,141360,1,141360,141370
9153971,141350,2,141350,141360
9153975,141340,1,141340,141360
9154019,141340,5,141340,141360
9154066,141350,3,141320,141350
9154066,141360,1,141350,141360
9154066,141350,17,141350,141360
9154087,141310,2,141310,141340
9154201,141310,3,141310,141320
9154246,141290,1,141290,141300
9154264,141290,1,141290,141300
9154312,141290,3,141280,141290
9154312,141300,1,141280,141290
9154312,141330,3,141280,141290
9154366,141310,2,141280,141310
9154367,141310,12,141310,141320
9154367,141310,6,141310,141320
9154367,141320,3,141290,141320
9154369,141300,1,141300,141330
9154375,141300,1,141300,141320
9154375,141290,1,141300,141320
9154667,141320,2,141290,141320
9154667,141320,18,141320,141330
9154667,141310,1,141310,141320
9154667,141320,1,141300,141320
9154674,141300,1,141300,141310
9154733,141300,1,141290,141300
9154741,141300,1,141290,141300
9154745,141300,1,141300,141310
9154967,141320,3,141290,141320
9154967,141320,17,141320,141330
9154967,141320,2,141300,141320
9154967,141320,2,141300,141320
9155002,141300,1,141300,141330
9155284,141290,1,141290,141300
9155406,141290,1,141280,141290
9155415,141290,1,141290,141300
9155428,141290,3,141280,141290
9155550,141290,2,141290,141300
9155601,141280,1,141280,141300
9155608,141270,1,141270,141280
9155774,141260,1,141260,141280
9155838,141280,1,141250,141280
9155952,141260,2,141260,141290
9160168,141280,3,141250,141280
9160168,141280,17,141280,141290
9160169,141260,1,141260,141280
9160187,141250,1,141250,141270
9160243,141240,14,141240,141270
9160243,141230,1,141230,141240
9160250,141240,1,141210,141240
9160253,141220,1,141220,141230
9160272,141220,1,141210,141220
9160292,141210,1,141210,141230
9160306,141200,2,141200,141210
9160346,141200,1,141170,141200
9160369,141180,1,141180,141200
9160369,141170,2,141180,141200
9160409,141170,1,141170,141180
9160452,141160,1,141160,141190
9160468,141180,1,141150,141180
9160469,141180,11,141180,141190
9160469,141190,1,141180,141190
9160469,141180,1,141180,141190
9160469,141180,7,141180,141190
9160504,141180,1,141160,141180
9160727,141150,2,141150,141170
9160765,141140,2,141140,141170
9160765,141140,4,141130,141140
9160767,141150,1,141140,141150
9160782,141150,1,141150,141170
9160908,141160,1,141150,141160
9160915,141170,2,141160,141170
9160917,141170,1,141170,141180
9160973,141150,1,141140,141150
9161027,141160,1,141150,141160
9161027,141170,1,141160,141170
9161028,141170,1,141160,141170
9161039,141160,1,141160,141170
9161069,141150,1,141130,141150
9161069,141150,1,141150,141160
9161074,141160,1,141150,141160
9161079,141160,18,141160,141170
9161227,141140,1,141130,141140
9161228,141150,1,141140,141150
9161228,141160,2,141140,141150
9161228,141170,3,141140,141170
9161233,141190,2,141150,141190
9161236,141160,1,141160,141190
9161240,141150,1,141150,141190
9161250,141150,1,141150,141180
9161315,141160,1,141160,141180
9161315,141150,1,141160,141180
9161315,141150,8,141140,141150
9161462,141140,1,141140,141160
9161645,141160,1,141140,141160
9161693,141150,1,141150,141170
9161693,141140,2,141150,141170
9161693,141130,4,141150,141170
9161693,141120,4,141150,141170
9161693,141120,9,141110,141120
9161694,141160,1,141140,141160
9161709,141160,2,141150,141160
9161709,141160,1,141160,141170
9161709,141150,6,141150,141170
9161837,141150,2,141130,141150
9161913,141160,3,141140,141160
9161923,141150,1,141150,141170
9161949,141160,2,141140,141160
9161956,141170,10,141150,141170
9161958,141160,1,141160,141180
9161975,141150,1,141150,141180
9161991,141150,1,141150,141170
9162028,141140,1,141140,141170
9162046,141130,1,141130,141160
9162064,141160,2,141130,141160
9162083,141150,1,141150,141170
9162243,141160,4,141140,141160
9162261,141150,1,141150,141180
9162717,141150,1,141150,141170
9162878,141130,2,141130,141140
9163220,141130,1,141120,141130
9163220,141140,3,141120,141140
9163220,141150,5,141130,141150
9163231,141140,1,141130,141140
9163444,141160,2,141150,141160
9163444,141160,1,141160,141170
9163456,141150,1,141150,141160
9163643,141140,1,141140,141160
9163728,141130,4,141130,141150
9163731,141130,9,141130,141140
9163731,141130,2,141120,141130
9163741,141120,1,141120,141130
9163830,141110,2,141110,141130
9163835,141100,9,141100,141110
9163836,141100,1,141100,141110
9163837,141110,1,141100,141110
9163837,141110,1,141110,141120
9163837,141120,2,141120,141130
9163838,141100,1,141100,141120
9163839,141120,2,141100,141120
9163842,141100,6,141100,141120
9163843,141110,1,141100,141110
9163844,141100,2,141100,141110
9163844,141110,2,141080,141110
9163932,141100,1,141100,141120
9163945,141120,2,141100,141120
9163945,141130,13,141120,141130
9163946,141130,1,141130,141160
9164133,141130,1,141130,141140
9164157,141120,3,141120,141140
9164157,141110,1,141110,141130
9164157,141110,1,141110,141120
9164163,141120,5,141120,141130
9164497,141110,2,141100,141110
9164497,141120,1,141110,141120
9164498,141130,1,141120,141130
9164498,141130,2,141130,141140
9164505,141110,1,141110,141130
9164664,141120,2,141110,141120
9164976,141130,3,141120,141130
9164985,141130,1,141130,141140
9165227,141120,2,141120,141130
9165228,141130,4,141110,141130
9165228,141140,10,141130,141140
9165228,141160,3,141140,141160
9165229,141170,1,141150,141170
9165230,141180,1,141150,141180
9165230,141190,3,141150,141190
9165230,141190,1,141150,141190
9165235,141150,2,141150,141170
9165235,141140,1,141150,141170
9165235,141140,2,141140,141170
9165236,141130,1,141130,141160
9165244,141130,45,141130,141140
9165244,141130,1,141120,141130
9165244,141120,1,141120,141140
9165244,141130,1,141130,141140
9165251,141140,1,141110,141140
9165263,141120,1,141110,141120
9165276,141120,2,141110,141120
9165276,141120,1,141120,141130
9165381,141120,1,141120,141130
9165381,141110,1,141110,141130
9165443,141130,2,141120,141130
9165879,141120,2,141120,141130
9165886,141120,1,141120,141130
9170059,141130,3,141120,141130
9170060,141140,2,141130,141140
9170064,141140,1,141140,141150
9170067,141130,1,141130,141150
9170068,141130,1,141130,141150
9170076,141120,1,141120,141150
9170079,141150,1,141120,141150
9170230,141130,2,141120,141130
9170230,141130,2,141120,141130
